threads,run,time_s
1,1,30.362212
1,2,30.745911
1,3,30.395260
1,4,30.739796
1,5,30.158665
1,6,29.893369
1,7,30.667273
1,8,30.302494
1,9,30.353323
1,10,29.900495
1,11,29.679426
1,12,30.112846
1,13,29.877530
1,14,29.997385
1,15,29.911374
1,16,30.454327
1,17,30.055716
1,18,29.826614
1,19,30.070674
1,20,30.395602
1,21,30.084095
1,22,29.899147
1,23,29.939768
1,24,29.826996
1,25,29.970996
1,26,29.815090
1,27,29.930974
1,28,29.994254
1,29,30.038519
1,30,30.047031
2,1,15.051609
2,2,15.057185
2,3,14.882103
2,4,14.974603
2,5,15.030720
2,6,15.331843
2,7,15.017601
2,8,14.984932
2,9,14.937610
2,10,14.908386
2,11,15.077575
2,12,14.963630
2,13,14.934887
2,14,15.018097
2,15,15.017470
2,16,15.087424
2,17,15.042764
2,18,15.090563
2,19,15.214803
2,20,15.041113
2,21,15.127051
2,22,14.992099
2,23,15.157295
2,24,15.058888
2,25,15.196973
2,26,15.216847
2,27,14.991721
2,28,14.988370
2,29,15.030768
2,30,15.057197
3,1,10.166928
3,2,10.067253
3,3,10.043301
3,4,10.078792
3,5,10.058092
3,6,10.186743
3,7,10.132160
3,8,10.113151
3,9,10.183905
3,10,10.070024
3,11,10.243855
3,12,10.445565
3,13,10.152747
3,14,10.196067
3,15,10.222203
3,16,10.092845
3,17,10.116056
3,18,10.144357
3,19,10.255860
3,20,10.058150
3,21,10.158653
3,22,10.190763
3,23,9.993025
3,24,10.094256
3,25,10.029976
3,26,9.986878
3,27,10.312204
3,28,10.060742
3,29,10.016431
3,30,10.099965
4,1,7.711800
4,2,7.874806
4,3,7.735705
4,4,7.737505
4,5,7.714194
4,6,7.714449
4,7,7.565959
4,8,8.064536
4,9,7.738025
4,10,7.696687
4,11,7.692298
4,12,7.736210
4,13,7.631358
4,14,7.695371
4,15,7.744789
4,16,7.736688
4,17,7.880980
4,18,7.702985
4,19,7.745070
4,20,7.691000
4,21,7.778467
4,22,7.727162
4,23,7.637261
4,24,7.736951
4,25,7.807728
4,26,7.668743
4,27,7.812484
4,28,7.696255
4,29,7.908007
4,30,7.672670
5,1,6.370433
5,2,6.387340
5,3,6.279703
5,4,6.382273
5,5,6.454259
5,6,6.435681
5,7,6.442550
5,8,6.377023
5,9,6.473986
5,10,6.338822
5,11,6.390832
5,12,6.515382
5,13,6.274273
5,14,6.540131
5,15,6.375558
5,16,6.426642
5,17,6.495377
5,18,6.343830
5,19,6.276740
5,20,6.523077
5,21,6.493365
5,22,6.334114
5,23,6.417777
5,24,6.443901
5,25,6.560441
5,26,6.399179
5,27,6.505797
5,28,6.225369
5,29,7.237226
5,30,6.390742
6,1,5.684987
6,2,5.794730
6,3,6.014040
6,4,5.913961
6,5,5.740064
6,6,5.708683
6,7,5.915405
6,8,5.942513
6,9,5.965381
6,10,5.979634
6,11,5.646062
6,12,6.134482
6,13,6.189720
6,14,5.792182
6,15,5.855839
6,16,5.933364
6,17,6.311030
6,18,5.803412
6,19,5.675813
6,20,5.750318
6,21,5.786804
6,22,5.746401
6,23,5.970784
6,24,5.937666
6,25,5.862517
6,26,5.944290
6,27,5.955274
6,28,5.747946
6,29,5.776681
6,30,5.890783
7,1,6.079567
7,2,5.757107
7,3,5.522708
7,4,5.528485
7,5,5.760769
7,6,5.965961
7,7,5.327596
7,8,6.163610
7,9,5.529295
7,10,5.329755
7,11,5.664198
7,12,5.485503
7,13,5.684427
7,14,6.196962
7,15,5.432538
7,16,6.121791
7,17,5.754697
7,18,5.691847
7,19,5.245591
7,20,5.246310
7,21,5.608243
7,22,5.540705
7,23,6.862229
7,24,5.625157
7,25,5.755649
7,26,5.860571
7,27,5.816484
7,28,5.338178
7,29,5.546320
7,30,5.404123
8,1,6.090213
8,2,5.404763
8,3,5.420769
8,4,5.333682
8,5,5.831079
8,6,5.575522
8,7,5.547202
8,8,5.573627
8,9,5.325788
8,10,5.965135
8,11,5.531616
8,12,5.262135
8,13,5.412705
8,14,5.837955
8,15,5.891919
8,16,5.808192
8,17,6.062720
8,18,5.594786
8,19,5.560733
8,20,6.072693
8,21,6.005828
8,22,5.768557
8,23,6.084063
8,24,5.633317
8,25,5.772106
8,26,5.589609
8,27,5.747168
8,28,5.538025
8,29,5.817558
8,30,5.353085
9,1,5.603761
9,2,5.580665
9,3,5.718576
9,4,5.676516
9,5,5.862689
9,6,5.737217
9,7,5.944759
9,8,5.842173
9,9,5.530279
9,10,5.822644
9,11,5.530354
9,12,5.650569
9,13,5.625948
9,14,5.776481
9,15,5.781672
9,16,6.151459
9,17,7.800242
9,18,5.807413
9,19,5.917901
9,20,6.062251
9,21,6.144548
9,22,6.054400
9,23,5.600416
9,24,6.325972
9,25,5.584884
9,26,5.688631
9,27,5.601995
9,28,5.784285
9,29,5.603676
9,30,5.917008
10,1,5.821880
10,2,5.845450
10,3,6.240015
10,4,6.274893
10,5,6.014130
10,6,5.963779
10,7,5.912886
10,8,6.133858
10,9,6.158162
10,10,5.772295
10,11,5.832854
10,12,6.378744
10,13,5.811577
10,14,6.040193
10,15,6.236620
10,16,5.904639
10,17,5.929470
10,18,6.160688
10,19,6.300441
10,20,5.959652
10,21,6.051858
10,22,6.121060
10,23,6.118701
10,24,5.666296
10,25,6.024438
10,26,5.669461
10,27,5.749582
10,28,6.101864
10,29,6.170142
10,30,5.880812
11,1,6.260463
11,2,6.731701
11,3,6.858749
11,4,6.506241
11,5,6.224915
11,6,6.443308
11,7,6.238476
11,8,6.707616
11,9,6.405591
11,10,6.206446
11,11,6.373939
11,12,6.601323
11,13,6.285375
11,14,6.171893
11,15,6.264631
11,16,5.993099
11,17,6.535269
11,18,6.546442
11,19,6.165936
11,20,6.616771
11,21,6.123930
11,22,6.202828
11,23,6.329555
11,24,6.278079
11,25,6.376110
11,26,6.427769
11,27,6.440303
11,28,6.541056
11,29,7.413345
11,30,6.063121
12,1,6.705273
12,2,6.850797
12,3,6.487535
12,4,6.626395
12,5,6.784769
12,6,6.659861
12,7,7.619609
12,8,6.589978
12,9,6.906802
12,10,6.633588
12,11,7.339016
12,12,6.710602
12,13,6.828775
12,14,6.781427
12,15,6.713078
12,16,6.574954
12,17,6.626420
12,18,6.752858
12,19,6.714762
12,20,6.840378
12,21,6.661146
12,22,6.691493
12,23,7.343773
12,24,6.786384
12,25,6.717621
12,26,7.024311
12,27,6.581984
12,28,6.619863
12,29,6.760080
12,30,6.710859
13,1,6.971695
13,2,6.880329
13,3,7.455587
13,4,7.494176
13,5,7.139313
13,6,7.173097
13,7,7.079121
13,8,7.024494
13,9,7.016510
13,10,6.929223
13,11,7.117699
13,12,6.961975
13,13,7.177339
13,14,6.903015
13,15,7.835668
13,16,7.399493
13,17,7.639176
13,18,7.094067
13,19,6.993030
13,20,7.675926
13,21,7.153677
13,22,7.494076
13,23,6.964278
13,24,7.339162
13,25,7.275191
13,26,7.315883
13,27,7.177565
13,28,7.656017
13,29,7.153076
13,30,7.236399
14,1,7.305617
14,2,7.158313
14,3,7.397652
14,4,7.312144
14,5,7.417465
14,6,7.306243
14,7,7.352907
14,8,7.160030
14,9,7.091790
14,10,7.165860
14,11,7.441174
14,12,7.230908
14,13,7.260918
14,14,7.206410
14,15,7.644027
14,16,7.227574
14,17,7.238156
14,18,7.246093
14,19,7.174333
14,20,7.430457
14,21,7.264161
14,22,7.390440
14,23,8.503225
14,24,7.656795
14,25,7.311718
14,26,7.660981
14,27,7.291908
14,28,7.344393
14,29,7.243174
14,30,7.371673
15,1,7.303503
15,2,7.320153
15,3,7.450576
15,4,7.291856
15,5,7.252051
15,6,7.568779
15,7,7.265969
15,8,7.313707
15,9,7.212159
15,10,7.413508
15,11,7.283508
15,12,7.331389
15,13,7.291245
15,14,7.333261
15,15,7.250027
15,16,7.271490
15,17,7.305767
15,18,8.173906
15,19,7.334301
15,20,7.321240
15,21,7.667548
15,22,7.344048
15,23,7.228359
15,24,7.444933
15,25,7.321365
15,26,7.547259
15,27,7.288218
15,28,7.280429
15,29,7.369959
15,30,7.474107
16,1,7.297758
16,2,7.297548
16,3,7.366007
16,4,7.342190
16,5,7.762941
16,6,7.322924
16,7,7.654140
16,8,7.341034
16,9,7.220715
16,10,7.441176
16,11,7.751960
16,12,7.383913
16,13,7.547992
16,14,7.297287
16,15,7.392676
16,16,7.591330
16,17,7.550506
16,18,7.322942
16,19,7.377925
16,20,7.323899
16,21,7.320759
16,22,7.290152
16,23,7.328057
16,24,7.249322
16,25,7.243147
16,26,7.201510
16,27,7.446122
16,28,7.239440
16,29,7.344493
16,30,7.624296
